old_path	classification	new_path	current_or_historical	reason	dependencies_found	action	files_on_disk_governed	tracked_files_governed
docs/SQP_(Morales2012)A_sequential_quadratic_programming_algorithm_with_an_additional_equality_constrained_phase_a-sequential-quadratic-programming-algorithm-with-an-5ckaoebdch.pdf	current_documentation	paper/references/library/SQP_(Morales2012)A_sequential_quadratic_programming_algorithm_with_an_additional_equality_constrained_phase_a-sequential-quadratic-programming-algorithm-with-an-5ckaoebdch.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/SQP_(Murray2005)_SNOPT_Large-scale.pdf	current_documentation	paper/references/library/SQP_(Murray2005)_SNOPT_Large-scale.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Shin(2023)_Topology optimization via machine learning.pdf	current_documentation	paper/references/library/Shin(2023)_Topology optimization via machine learning.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Teimouri (2109) - Multi-objective BESO topology optimization for stiffness and frequency of continuum structures.pdf	current_documentation	paper/references/library/Teimouri (2109) - Multi-objective BESO topology optimization for stiffness and frequency of continuum structures.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Wang (2021) - A comprehensive review of educational articles on structural and multidisciplinary optimization.pdf	current_documentation	paper/references/library/Wang (2021) - A comprehensive review of educational articles on structural and multidisciplinary optimization.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Xu(2019)_Level-set_topology_optimization.pdf	current_documentation	paper/references/library/Xu(2019)_Level-set_topology_optimization.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Xue(2019)-Topology optimization under finite deformation via Moving Morphable Void (MMV) approach.pdf	current_documentation	paper/references/library/Xue(2019)-Topology optimization under finite deformation via Moving Morphable Void (MMV) approach.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/bimodality_gap	experiment	development/experiments/bimodality_gap	historical	single-factor study of the Olhoff density-field bimodality gap (2026-09-14, untracked); an experiment on the production tree, not user documentation. MOVED ONLY AFTER its live MATLAB job ended (VERIFICATION.md section 0)	scripts addpath analysis/OlhoffCurrent and read analysis/OlhoffCurrent/{evidence,diagnostics} and examples/Performance/conference_benchmark (paths recorded as-is; study files not edited)	mv (no tracked files)	243	0
docs/complexity	current_documentation	docs/complexity	current	companion of complexity.tex	none found	keep	1	1
docs/complexity.tex	current_documentation	docs/complexity.tex	current	technical note: eigenvalue vs linear solver complexity (background of the performance comparison)	none found	keep	1	1
docs/ec-03-2025-0278en.pdf	current_documentation	paper/references/library/ec-03-2025-0278en.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/olhoff_audit.md	historical_document	development/historical_documents/docs/olhoff_audit.md	historical	audit of OlhoffApproach/topFreqOptimization_MMA.m	none found	git mv	1	1
docs/olhoff_implementation_analysis.tex	historical_document	development/historical_documents/docs/olhoff_implementation_analysis.tex	historical	analysis of historical Olhoff implementations	none found	git mv	1	1
docs/olhoff_penalty_continuation_experiment.md	historical_document	development/historical_documents/docs/olhoff_penalty_continuation_experiment.md	historical	SIMP penalty-continuation experiment (2026-06-18, refuted)	none found	git mv	1	1
docs/s00158-007-0101-y.pdf	current_documentation	paper/references/library/s00158-007-0101-y.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/s00158-007-0167-6.pdf	current_documentation	paper/references/library/s00158-007-0167-6.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/s00158-010-0594-7.pdf	current_documentation	paper/references/library/s00158-010-0594-7.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/s00158-018-2159-0.pdf	current_documentation	paper/references/library/s00158-018-2159-0.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/s00158-025-04186-6.pdf	current_documentation	paper/references/library/s00158-025-04186-6.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/s001580050130.pdf	current_documentation	paper/references/library/s001580050130.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/s11831-021-09544-3.pdf	current_documentation	paper/references/library/s11831-021-09544-3.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/sequential_approximation_rationale.aux	historical_document	development/historical_documents/docs/sequential_approximation_rationale.aux	historical	LaTeX build output (ignored)	none found	mv (no tracked files)	1	0
docs/sequential_approximation_rationale.log	historical_document	development/historical_documents/docs/sequential_approximation_rationale.log	historical	LaTeX build output (ignored)	none found	mv (no tracked files)	1	0
docs/sequential_approximation_rationale.pdf	historical_document	development/historical_documents/docs/sequential_approximation_rationale.pdf	historical	compiled note (ignored; source not in repository)	none found	mv (no tracked files)	1	0
docs/topcut.pdf	current_documentation	paper/references/library/topcut.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/topopt_config.schema.json	current_documentation	docs/topopt_config.schema.json	current	JSON schema of the run_topopt_from_json task files	none found	keep	1	1
examples	current_example	examples	current	current runnable examples only after migration	none found	keep	0	0
examples/.DS_Store	current_example	examples/.DS_Store	current	Finder metadata (ignored)	none found	keep	1	0
examples/Building	current_example	examples/Building	current	JSON config (approach ourApproach) + MATLAB runner (via weightedTopologyResultsHelper) + Python runner (tools.Python.run_topopt_from_json); image/fig/csv outputs are ignored run output kept in place	MATLAB runner needs examples/ on the path for weightedTopologyResultsHelper	keep	228	4
examples/ClampedBeam	current_example	examples/ClampedBeam	current	JSON config (approach ourApproach) + MATLAB runner (via weightedTopologyResultsHelper) + Python runner (tools.Python.run_topopt_from_json); image/fig/csv outputs are ignored run output kept in place	MATLAB runner needs examples/ on the path for weightedTopologyResultsHelper	keep	227	3
examples/ClampedHingedBeam	current_example	examples/ClampedHingedBeam	current	JSON config (approach ourApproach) + MATLAB runner (via weightedTopologyResultsHelper) + Python runner (tools.Python.run_topopt_from_json); image/fig/csv outputs are ignored run output kept in place	MATLAB runner needs examples/ on the path for weightedTopologyResultsHelper	keep	227	3
examples/HingedBeam	current_example	examples/HingedBeam	current	JSON config (approach ourApproach) + MATLAB runner (via weightedTopologyResultsHelper) + Python runner (tools.Python.run_topopt_from_json); image/fig/csv outputs are ignored run output kept in place	MATLAB runner needs examples/ on the path for weightedTopologyResultsHelper	keep	231	3
examples/Performance	current_example	examples/Performance	current	current performance-comparison area: performance_comparison.m + conference_bench/ + benchmark_profile/ + compose_nine_mesh_comparison.m + current recorded campaigns	none found	keep	0	0
examples/Performance/.DS_Store	current_example	examples/Performance/.DS_Store	current	Finder metadata (ignored)	none found	keep	1	0
examples/Performance/CONFERENCE_BENCHMARK_PREFLIGHT.md	benchmark_history	development/benchmark_history/examples_Performance/CONFERENCE_BENCHMARK_PREFLIGHT.md	historical	preflight report of an earlier driver state; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/CONFERENCE_DRIVER_FINAL_AUDIT.md	benchmark_history	development/benchmark_history/examples_Performance/CONFERENCE_DRIVER_FINAL_AUDIT.md	historical	final audit of the driver before the OlhoffCurrent repointing; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/FINAL_CAMPAIGN_PREFLIGHT.md	benchmark_history	development/benchmark_history/examples_Performance/FINAL_CAMPAIGN_PREFLIGHT.md	historical	preflight of the r3 final_campaign; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/PLAN_two_table_redesign.md	benchmark_history	development/benchmark_history/examples_Performance/PLAN_two_table_redesign.md	historical	redesign plan (implemented); not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/STOP_RULE_AUDIT.md	benchmark_history	development/benchmark_history/examples_Performance/STOP_RULE_AUDIT.md	historical	stop-rule audit (WP3); not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/WP0A_VISUALIZATION_FIX.md	benchmark_history	development/benchmark_history/examples_Performance/WP0A_VISUALIZATION_FIX.md	historical	visualization work-package note; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/benchmark_protocol_r3.json	benchmark_history	development/benchmark_history/examples_Performance/benchmark_protocol_r3.json	historical	r3 protocol; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/benchmark_results.json	benchmark_history	development/benchmark_history/examples_Performance/benchmark_results.json	historical	r3 results (listed as legacy evidence by confbench_preflight output-isolation check); not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/compose_nine_mesh_comparison.m	current_example	examples/Performance/compose_nine_mesh_comparison.m	current	current composition of the three-method table (Proposed/Yuksel from campaign_9mesh_r2, Olhoff from nine_mesh_pedersen_b21483b); untracked at baseline	paths re-pointed to analysis/Olhoff and examples/Performance/benchmark_profile	keep	1	0
examples/Performance/conference_bench	current_example	examples/Performance/conference_bench	current	implementation of the current runner (config, run_case, preflight, manifest, export, plots, selftest)	paths re-pointed to analysis/Olhoff and examples/Performance/benchmark_profile	keep	17	17
examples/Performance/conference_benchmark	current_example	examples/Performance/conference_benchmark	current	output root of the current runner	none found	keep	0	0
examples/Performance/conference_benchmark.zip	benchmark_history	development/benchmark_history/examples_Performance/conference_benchmark.zip	historical	local zip backup of conference_benchmark (ignored, never tracked); missed by the first execution pass and moved in a second pass (MIGRATION_LOG.tsv)	none found	mv (no tracked files)	1	0
examples/Performance/conference_benchmark/.DS_Store	current_example	examples/Performance/conference_benchmark/.DS_Store	current	Finder metadata (ignored)	none found	keep	1	0
examples/Performance/conference_benchmark/campaign_9mesh	benchmark_history	development/benchmark_history/examples_Performance/conference_benchmark/campaign_9mesh	historical	empty output directory of the first (censored) nine-mesh campaign label	none found	mv (no tracked files)	0	0
examples/Performance/conference_benchmark/campaign_9mesh_r2	current_example	examples/Performance/conference_benchmark/campaign_9mesh_r2	current	current Proposed/Yuksel rows of the three-method table; read by compose_nine_mesh_comparison.m and test_preset_equivalence.m	none found	keep	73	6
examples/Performance/conference_benchmark/nine_mesh_comparison_pedersen_b21483b	current_example	examples/Performance/conference_benchmark/nine_mesh_comparison_pedersen_b21483b	current	current three-method table composed from the two campaigns (untracked at baseline)	none found	keep	16	0
examples/Performance/conference_benchmark/nine_mesh_pedersen_b21483b	current_example	examples/Performance/conference_benchmark/nine_mesh_pedersen_b21483b	current	current production Olhoff campaign (2026-09-14)	none found	keep	86	35
examples/Performance/conference_benchmark/smoke_nine_mesh_pedersen_b21483b	benchmark_history	development/benchmark_history/examples_Performance/conference_benchmark/smoke_nine_mesh_pedersen_b21483b	historical	mechanics-only smoke run preceding the 2026-09-14 campaign; referenced only by the archived nine_mesh_pedersen_production diagnostic	none found	git mv	27	11
examples/Performance/determinism_validation.json	benchmark_history	development/benchmark_history/examples_Performance/determinism_validation.json	historical	r3 validation record; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/diagnostic_yuksel_table1	benchmark_history	development/benchmark_history/examples_Performance/diagnostic_yuksel_table1	historical	Yuksel Table 1 diagnostic; not called by performance_comparison.m or conference_bench/	none found	git mv	2	2
examples/Performance/equivalence	benchmark_history	development/benchmark_history/examples_Performance/equivalence	historical	r3 Olhoff benchmark-path equivalence proofs (.mat tracked via .gitignore negation); not called by performance_comparison.m or conference_bench/	none found	git mv	26	26
examples/Performance/extension_invariance_validation.json	benchmark_history	development/benchmark_history/examples_Performance/extension_invariance_validation.json	historical	r3 validation record; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/final_campaign	benchmark_history	development/benchmark_history/examples_Performance/final_campaign	historical	r3 final_campaign output; not called by performance_comparison.m or conference_bench/	none found	git mv	21	3
examples/Performance/final_campaign_config.m	benchmark_history	development/benchmark_history/examples_Performance/final_campaign_config.m	historical	r3 driver helper (reads olhoff_stabilization_audit profile); not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/final_campaign_preflight.m	benchmark_history	development/benchmark_history/examples_Performance/final_campaign_preflight.m	historical	r3 driver helper (addpaths Matlab/reproduction2007); not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/final_campaign_run_case.m	benchmark_history	development/benchmark_history/examples_Performance/final_campaign_run_case.m	historical	r3 driver helper; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/fit_complexity_model.m	benchmark_history	development/benchmark_history/examples_Performance/fit_complexity_model.m	historical	r3 complexity fit (superseded by conference_bench/confbench_scaling_fit); not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/history_logging_validation.json	benchmark_history	development/benchmark_history/examples_Performance/history_logging_validation.json	historical	r3 validation record; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/instrumentation_validation.json	benchmark_history	development/benchmark_history/examples_Performance/instrumentation_validation.json	historical	r3 validation record; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/ledger	benchmark_history	development/benchmark_history/examples_Performance/ledger	historical	r3 protocol ledger / freeze record; not called by performance_comparison.m or conference_bench/	none found	git mv	4	4
examples/Performance/legacy_r3	benchmark_history	development/benchmark_history/examples_Performance/legacy_r3	historical	previous driver preserved verbatim; not called by performance_comparison.m or conference_bench/	none found	git mv	2	2
examples/Performance/olhoff_benchmark_path_hash.m	benchmark_history	development/benchmark_history/examples_Performance/olhoff_benchmark_path_hash.m	historical	r3 repro2007 benchmark-path hash; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/olhoff_equivalence_gate.m	benchmark_history	development/benchmark_history/examples_Performance/olhoff_equivalence_gate.m	historical	r3 equivalence gate (addpaths Matlab/reproduction2007); not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/olhoff_equivalence_report.m	benchmark_history	development/benchmark_history/examples_Performance/olhoff_equivalence_report.m	historical	r3 equivalence report; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/olhoff_preflight.m	benchmark_history	development/benchmark_history/examples_Performance/olhoff_preflight.m	historical	second (repro2007) Olhoff chain retired by the 2026-09-07 promotion; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/performance_benchmark_profile.m	benchmark_history	development/benchmark_history/examples_Performance/performance_benchmark_profile.m	historical	r3 benchmark profile; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/performance_comparison.json	benchmark_history	development/benchmark_history/examples_Performance/performance_comparison.json	historical	JSON config of the pre-r3 runner; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/performance_comparison.m	current_example	examples/Performance/performance_comparison.m	current	THE current three-method performance runner	paths re-pointed to analysis/Olhoff and examples/Performance/benchmark_profile	keep	1	1
examples/Performance/performance_log.txt	benchmark_history	development/benchmark_history/examples_Performance/performance_log.txt	historical	July run log (ignored); not called by performance_comparison.m or conference_bench/	none found	mv (no tracked files)	1	0
examples/Performance/plot_table1_complexity.m	benchmark_history	development/benchmark_history/examples_Performance/plot_table1_complexity.m	historical	Table-1 era plotting; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/print_complexity_fit_table.m	benchmark_history	development/benchmark_history/examples_Performance/print_complexity_fit_table.m	historical	Table-1 era table printer; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/print_table1_paper_style.m	benchmark_history	development/benchmark_history/examples_Performance/print_table1_paper_style.m	historical	Table-1 era table printer; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/regenerate_from_csv.m	benchmark_history	development/benchmark_history/examples_Performance/regenerate_from_csv.m	historical	Table-1 era regeneration; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/repro2007_direct_cfg.m	benchmark_history	development/benchmark_history/examples_Performance/repro2007_direct_cfg.m	historical	repro2007 benchmark config; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/repro2007_normalized_config.m	benchmark_history	development/benchmark_history/examples_Performance/repro2007_normalized_config.m	historical	repro2007 benchmark config; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/repro2007_tree_hash.m	benchmark_history	development/benchmark_history/examples_Performance/repro2007_tree_hash.m	historical	repro2007 tree hash; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/sha256_hex.m	benchmark_history	development/benchmark_history/examples_Performance/sha256_hex.m	historical	hash helper of the r3 scripts (no current caller); not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/table1_complexity_fit.csv	benchmark_history	development/benchmark_history/examples_Performance/table1_complexity_fit.csv	historical	Table-1 era output; not called by performance_comparison.m or conference_bench/	none found	mv (no tracked files)	1	0
examples/Performance/table1_complexity_fit.png	benchmark_history	development/benchmark_history/examples_Performance/table1_complexity_fit.png	historical	Table-1 era output; not called by performance_comparison.m or conference_bench/	none found	mv (no tracked files)	1	0
examples/Performance/table1_complexity_fit_fixedexp.csv	benchmark_history	development/benchmark_history/examples_Performance/table1_complexity_fit_fixedexp.csv	historical	Table-1 era output; not called by performance_comparison.m or conference_bench/	none found	mv (no tracked files)	1	0
examples/Performance/table1_complexity_fit_fixedexp.png	benchmark_history	development/benchmark_history/examples_Performance/table1_complexity_fit_fixedexp.png	historical	Table-1 era output; not called by performance_comparison.m or conference_bench/	none found	mv (no tracked files)	1	0
examples/Performance/table1_complexity_fit_fixedexp_linear.png	benchmark_history	development/benchmark_history/examples_Performance/table1_complexity_fit_fixedexp_linear.png	historical	Table-1 era output; not called by performance_comparison.m or conference_bench/	none found	mv (no tracked files)	1	0
examples/Performance/table1_complexity_fit_linear.png	benchmark_history	development/benchmark_history/examples_Performance/table1_complexity_fit_linear.png	historical	Table-1 era output; not called by performance_comparison.m or conference_bench/	none found	mv (no tracked files)	1	0
examples/Performance/table1_paper_style.pdf	benchmark_history	development/benchmark_history/examples_Performance/table1_paper_style.pdf	historical	Table-1 era output; not called by performance_comparison.m or conference_bench/	none found	mv (no tracked files)	1	0
examples/Performance/table1_paper_style.tex	benchmark_history	development/benchmark_history/examples_Performance/table1_paper_style.tex	historical	Table-1 era output; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/table1_performance.csv	benchmark_history	development/benchmark_history/examples_Performance/table1_performance.csv	historical	Table-1 era output (listed as legacy evidence by confbench_preflight); not called by performance_comparison.m or conference_bench/	none found	mv (no tracked files)	1	0
examples/Performance/test_shared_topology_renderer.m	benchmark_history	development/benchmark_history/examples_Performance/test_shared_topology_renderer.m	historical	test of the iteration-efficiency renderer (addpaths analysis/iteration_efficiency_study_design); not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/validate_determinism.m	benchmark_history	development/benchmark_history/examples_Performance/validate_determinism.m	historical	r3 validation script; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/validate_extension_invariance.m	benchmark_history	development/benchmark_history/examples_Performance/validate_extension_invariance.m	historical	r3 validation script; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/validate_history_logging.m	benchmark_history	development/benchmark_history/examples_Performance/validate_history_logging.m	historical	r3 validation script; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/validate_instrumentation_invariance.m	benchmark_history	development/benchmark_history/examples_Performance/validate_instrumentation_invariance.m	historical	r3 validation script; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Performance/verify_repro2007_benchmark_equivalence.m	benchmark_history	development/benchmark_history/examples_Performance/verify_repro2007_benchmark_equivalence.m	historical	r3 repro2007 equivalence verification; not called by performance_comparison.m or conference_bench/	none found	git mv	1	1
examples/Revision_v1	experiment	development/experiments/Revision_v1	historical	reviewer-demanded revision experiments (A1-A4, exp1-5; 2026-07); scripts call addpath(genpath(analysis)); not the current benchmark	genpath(analysis) in six scripts; .gitignore negation for output/a4/*.png	git mv	675	23
examples/check_edof_and_harmonic_sensitivity_optionB.m	legacy_example	development/legacy_examples/examples_root/check_edof_and_harmonic_sensitivity_optionB.m	historical	ad-hoc developer check/demo (2026-02..03); addpaths <repo>/tools, which holds no .m since tools/*.m moved to tools/Matlab on 2026-02-23; referenced by no runner or suite	none found	git mv	1	1
examples/conference_benchmark.zip	benchmark_history	development/benchmark_history/conference_benchmark.zip	historical	local zip backup (ignored)	none found	mv (no tracked files)	1	0
examples/conference_benchmark_v1	benchmark_history	development/benchmark_history/conference_benchmark_v1	historical	first conference benchmark version (superseded)	none found	git mv	95	24
examples/demo_final_visualization_quality.m	legacy_example	development/legacy_examples/examples_root/demo_final_visualization_quality.m	historical	ad-hoc developer check/demo (2026-02..03); addpaths <repo>/tools, which holds no .m since tools/*.m moved to tools/Matlab on 2026-02-23; referenced by no runner or suite	none found	git mv	1	1
examples/elastic2D	current_example	examples/elastic2D	current	elastic2D JSON configs + Python runner	none found	keep	5	3
examples/test_multi_load_cases_ourApproach.m	legacy_example	development/legacy_examples/examples_root/test_multi_load_cases_ourApproach.m	historical	ad-hoc developer check/demo (2026-02..03); addpaths <repo>/tools, which holds no .m since tools/*.m moved to tools/Matlab on 2026-02-23; referenced by no runner or suite	none found	git mv	1	1
examples/test_new_bc_types.m	legacy_example	development/legacy_examples/examples_root/test_new_bc_types.m	historical	ad-hoc developer check/demo (2026-02..03); addpaths <repo>/tools, which holds no .m since tools/*.m moved to tools/Matlab on 2026-02-23; referenced by no runner or suite	none found	git mv	1	1
examples/test_passive_regions_rect.m	legacy_example	development/legacy_examples/examples_root/test_passive_regions_rect.m	historical	ad-hoc developer check/demo (2026-02..03); addpaths <repo>/tools, which holds no .m since tools/*.m moved to tools/Matlab on 2026-02-23; referenced by no runner or suite	none found	git mv	1	1
examples/topopt_config_correlation.csv	legacy_example	development/legacy_examples/examples_root/topopt_config_correlation.csv	historical	correlation output of an old run (ignored)	none found	mv (no tracked files)	1	0
examples/weightedTopologyResultsHelper.m	current_example	examples/weightedTopologyResultsHelper.m	current	helper called by the four current beam/building MATLAB runners	none found	keep	1	1
main.log	historical_document	development/historical_documents/repository_root/main.log	historical	LaTeX/tool log (ignored)	none found	mv (no tracked files)	1	0
paper	current_documentation	paper	current	active manuscript/review material (paper/reviews)	none found	keep	17	0
phase5_evidence	evidence	development/experiments/Revision_v1_phase5_evidence	historical	A4 Phase 5 run logs/outputs of the paper-revision experiment (2026-07-24..27)	none found	mv (no tracked files)	31	0
references	current_documentation	paper/references	current	literature PDFs cited by the manuscript (Du2007, Olhoff2014, Yuksel2025, ...); untracked/ignored; grouped with the paper	examples/Performance/performance_benchmark_profile.m (historical) names references/Yuksel2025_Efficient.pdf as metadata	mv (no tracked files) + update current references	32	0
results	legacy_example	development/legacy_examples/results	historical	June 2026 output figures of run_topopt_from_json (Olhoff/Yuksel/ourApproach/cantilever); ignored. run_topopt_from_json recreates results/ on demand (mkdir)	none found	mv (no tracked files)	25	0
scripts	experiment	development/experiments/Revision_v1_scripts	historical	scripts/revision_v1 holds only __pycache__ and cr2_smoke_results.mat (ignored) of the Revision_v1 experiment	none found	mv (no tracked files)	5	0
source_of_truth	legacy_implementation	development/legacy_implementations/source_of_truth	historical	reference codes top88.m, top88_model.m, topcut.m used to seed early implementations (tracked since 2026-02-27); no current caller	analysis/YukselApproach/Python/README.md mentions source_of_truth/fromPaper/Yuksel/ (path no longer exists)	git mv	4	3
study_preregistration.json	historical_document	development/historical_documents/repository_root/study_preregistration.json	historical	preregistration of the profile-selection study (named as selection_rule_source inside the frozen profile manifest, never read by code)	none found	git mv	1	1
tests	current_test	tests	current	repository-level tests; receives the development-firewall check. Method test suites stay beside their implementation (analysis/Olhoff/tests)	none found	keep	0	0
tests/__pycache__	experiment	development/experiments/Revision_v1_tests_pycache	historical	only residue of the removed tests/test_revision_v1_validator.py (compiled .pyc, ignored); belongs to the Revision_v1 experiment	none found	mv (no tracked files)	2	0
texput.log	historical_document	development/historical_documents/repository_root/texput.log	historical	LaTeX log (ignored)	none found	mv (no tracked files)	1	0
tools	current_implementation	tools	current	shared current code: MATLAB/Python JSON dispatchers, MMA copy, plotting, BC/passive/load-case helpers. Kept at top level: run_topopt_from_json derives repoRoot from its own depth and every example/runner addpaths tools/Matlab	run_topopt_from_json.m dispatches legacy keys Olhoff/OlhoffExact/OlhoffDu2007Repro into analysis/OlhoffApproach, analysis/OlhoffApproachExact, Matlab/reproduction2007 (retired in Phase 8); tools/Python/run_topopt_from_json.py -> analysis/ourApproach/Python (re-pointed)	keep	41	25
